対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
東京ヤクルト,4,34,11,4,3,1,6,8.0
東京ヤクルト,1,42,9,1,2,0,15,12.0
東京ヤクルト,2,33,8,1,0,0,6,8.0
読　売,4,38,9,4,2,0,3,10.0
読　売,5,29,5,5,4,0,7,8.0
読　売,0,27,4,0,1,0,6,9.0
広島東洋,1,29,7,0,0,1,3,9.0
広島東洋,4,35,10,4,4,0,10,9.0
広島東洋,1,30,3,1,1,0,6,9.0
横浜DeNA,3,30,5,3,4,0,6,9.0
横浜DeNA,6,38,15,6,4,0,9,9.0
阪　神,2,43,9,2,1,0,11,12.0
阪　神,5,30,10,5,2,1,4,8.0
阪　神,1,32,5,1,1,0,6,9.0
東京ヤクルト,3,33,11,2,0,0,4,8.0
東京ヤクルト,2,29,7,2,2,0,8,8.0
東京ヤクルト,5,39,13,4,2,0,7,9.0
阪　神,0,34,8,0,1,0,10,8.0
阪　神,2,35,9,2,0,0,3,8.0
阪　神,0,22,3,0,1,0,8,6.0
読　売,0,30,4,0,1,1,8,8.0
読　売,3,33,8,2,2,0,5,9.0
読　売,2,33,7,2,2,0,6,8.0
広島東洋,4,35,8,4,1,0,8,9.0
広島東洋,0,41,7,0,6,0,5,12.0
横浜DeNA,11,40,15,10,3,0,10,8.0
横浜DeNA,1,32,5,1,0,0,9,9.0
横浜DeNA,1,34,7,1,0,0,9,9.0
東京ヤクルト,3,41,14,2,3,0,5,11.0
東京ヤクルト,7,48,13,7,8,0,7,12.0
東京ヤクルト,6,37,13,6,2,1,9,9.0
読　売,2,31,9,2,3,0,1,8.0
読　売,0,31,4,0,1,0,6,9.0
読　売,1,32,9,1,2,0,8,9.0
広島東洋,3,33,6,3,2,0,7,9.0
広島東洋,4,35,11,4,4,1,9,9.0
阪　神,4,33,8,4,2,0,10,8.0
阪　神,0,37,5,0,4,0,8,11.0
阪　神,4,38,12,4,1,0,2,9.0
横浜DeNA,1,30,6,1,1,0,8,9.0
横浜DeNA,2,32,6,2,1,0,3,9.0
横浜DeNA,3,38,11,3,2,0,5,9.0
読　売,1,38,5,1,8,1,9,12.0
読　売,4,34,9,4,6,0,8,9.0
東京ヤクルト,2,37,7,2,4,0,4,10.0
東京ヤクルト,1,25,4,1,3,0,4,8.0
東京ヤクルト,5,33,11,5,4,1,5,8.0
埼玉西武,3,27,5,2,2,0,10,8.0
埼玉西武,0,29,4,0,1,1,6,9.0
埼玉西武,0,32,7,0,1,0,4,9.0
オリックス,1,30,2,1,3,0,9,9.0
オリックス,2,31,10,2,2,1,9,9.0
オリックス,2,40,8,2,1,0,10,12.0
福岡ソフトバンク,2,31,7,2,2,0,5,9.0
福岡ソフトバンク,1,33,6,1,3,0,11,9.0
福岡ソフトバンク,3,32,8,3,5,0,4,8.0
東北楽天,0,33,8,0,2,1,7,9.0
東北楽天,2,35,11,2,4,0,8,9.0
東北楽天,3,31,9,3,2,0,7,8.0
北海道日本ハム,4,35,8,4,1,0,8,9.0
北海道日本ハム,0,30,3,0,0,0,7,9.0
北海道日本ハム,4,36,11,4,3,0,6,9.0
千葉ロッテ,4,38,9,4,5,0,12,10.0
