対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
千葉ロッテ,0,32,5,0,0,0,10,9.0
千葉ロッテ,2,33,5,1,2,0,7,9.0
広島東洋,1,29,6,1,1,0,4,8.0
広島東洋,1,30,3,0,3,1,8,9.0
広島東洋,2,27,7,2,1,0,5,8.0
阪　神,1,32,7,1,2,0,8,9.0
阪　神,1,43,11,1,1,0,10,12.0
阪　神,1,35,8,1,0,0,12,9.0
横浜DeNA,1,30,3,1,1,0,11,9.0
横浜DeNA,1,34,8,1,1,0,9,9.0
横浜DeNA,3,29,9,3,2,1,7,8.0
読　売,2,32,9,2,1,1,7,9.0
読　売,1,32,8,1,2,0,8,9.0
広島東洋,2,29,11,2,1,0,7,8.0
広島東洋,2,29,8,2,0,0,3,8.0
広島東洋,2,28,4,2,5,0,6,8.333333333333334
横浜DeNA,5,39,13,5,6,0,8,11.0
横浜DeNA,0,34,7,0,0,0,8,9.0
横浜DeNA,2,34,6,2,3,0,8,10.0
阪　神,3,26,4,3,1,0,8,8.0
阪　神,10,33,13,10,1,0,4,8.0
阪　神,2,39,10,2,3,1,8,10.0
東京ヤクルト,1,30,5,1,1,1,5,9.0
東京ヤクルト,3,28,4,3,2,0,6,9.0
読　売,1,27,7,1,2,0,6,8.0
読　売,3,34,7,3,2,0,9,9.0
読　売,1,34,8,1,4,0,10,9.0
阪　神,1,36,12,1,0,0,6,9.0
阪　神,3,34,9,2,2,0,7,9.0
阪　神,3,39,9,3,2,1,12,11.0
東京ヤクルト,6,33,11,5,4,1,8,8.0
東京ヤクルト,1,29,7,1,2,0,6,8.0
東京ヤクルト,3,29,6,3,5,1,6,8.666666666666666
広島東洋,0,32,7,0,4,0,7,9.0
広島東洋,1,33,9,1,1,0,8,9.0
広島東洋,4,37,11,4,3,0,7,9.0
横浜DeNA,6,32,7,6,2,0,8,8.0
横浜DeNA,0,41,7,0,1,0,11,12.0
横浜DeNA,2,31,3,2,1,0,8,9.0
読　売,9,35,12,9,6,0,4,8.0
読　売,0,31,3,0,2,0,11,9.0
読　売,1,34,9,1,1,0,5,9.0
東京ヤクルト,4,32,8,4,0,0,4,9.0
東京ヤクルト,5,39,11,4,4,0,8,9.0
東京ヤクルト,6,42,12,6,6,1,10,11.0
阪　神,2,27,4,2,1,0,7,8.0
阪　神,5,45,12,5,9,1,10,12.0
阪　神,8,37,16,8,3,0,4,8.0
横浜DeNA,2,33,9,2,3,2,8,9.0
横浜DeNA,1,33,6,1,2,0,9,9.0
横浜DeNA,9,42,15,9,3,0,6,9.0
読　売,8,38,14,8,3,0,2,9.0
読　売,2,33,6,2,2,0,11,9.0
読　売,0,32,6,0,0,0,10,9.0
広島東洋,2,27,4,2,1,0,9,8.0
広島東洋,1,32,8,1,1,0,6,9.0
広島東洋,5,32,10,5,1,0,7,8.0
阪　神,1,29,4,1,3,0,5,9.0
阪　神,4,35,8,3,4,0,9,9.0
阪　神,1,37,11,1,1,0,14,9.0
広島東洋,3,36,11,3,2,0,8,9.0
広島東洋,1,31,6,1,1,0,9,9.0
広島東洋,4,35,10,4,4,0,7,9.0
東京ヤクルト,3,33,10,3,2,0,3,8.0
