対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
横浜DeNA,6,29,9,6,2,1,6,8.0
横浜DeNA,6,43,14,6,8,0,7,11.666666666666666
横浜DeNA,6,33,11,6,6,0,11,8.0
広島東洋,5,30,7,5,8,0,7,9.0
広島東洋,0,16,3,0,4,1,3,5.0
東京ヤクルト,1,30,3,1,2,0,8,9.0
東京ヤクルト,1,25,5,1,4,0,3,8.0
東京ヤクルト,1,42,9,1,5,0,9,12.0
読　売,1,34,5,1,0,0,6,8.0
読　売,2,33,4,2,5,0,8,10.0
読　売,4,30,7,3,4,0,6,9.0
横浜DeNA,3,35,10,3,2,0,6,8.0
横浜DeNA,1,30,4,1,0,0,11,8.0
広島東洋,2,33,8,2,4,0,9,8.666666666666666
広島東洋,6,29,7,6,3,0,9,8.0
広島東洋,5,37,13,5,3,0,10,9.0
中　日,1,29,5,1,3,0,10,8.0
中　日,2,30,6,2,1,1,10,9.0
中　日,1,31,5,1,3,0,7,8.0
読　売,4,31,6,3,4,1,11,9.0
読　売,15,40,19,15,3,3,12,8.0
東京ヤクルト,4,35,9,4,7,0,8,9.0
東京ヤクルト,7,39,12,7,3,0,8,9.0
東京ヤクルト,2,31,4,2,3,0,10,8.0
中　日,1,31,6,1,2,0,11,9.0
中　日,8,37,15,7,7,0,6,8.0
中　日,3,31,7,3,3,0,8,8.0
広島東洋,5,38,11,5,1,0,13,9.0
東京ヤクルト,0,31,4,0,4,0,12,9.0
東京ヤクルト,0,32,5,0,0,1,6,9.0
東京ヤクルト,2,33,8,2,5,0,5,8.0
横浜DeNA,6,35,9,5,2,0,10,8.0
横浜DeNA,7,30,8,7,5,2,4,8.0
横浜DeNA,15,43,21,15,5,0,7,8.0
中　日,9,39,14,9,6,0,10,9.0
中　日,3,33,6,3,5,0,6,9.0
中　日,4,32,9,4,4,0,10,9.0
広島東洋,7,36,10,7,2,0,11,9.0
広島東洋,1,30,6,1,2,0,4,8.666666666666666
広島東洋,4,28,7,4,4,1,8,8.0
東京ヤクルト,6,33,8,6,6,0,10,9.0
東京ヤクルト,6,38,13,5,3,2,6,9.0
東京ヤクルト,7,38,10,7,4,0,13,10.0
読　売,2,29,7,2,0,1,6,8.0
読　売,3,27,5,3,5,0,9,8.0
読　売,4,34,9,4,4,0,4,8.0
埼玉西武,3,32,6,3,1,1,3,9.0
埼玉西武,0,32,5,0,6,0,8,9.0
埼玉西武,2,30,6,2,6,0,6,9.0
千葉ロッテ,6,36,8,6,7,1,14,10.333333333333334
千葉ロッテ,2,29,5,2,4,1,12,8.0
千葉ロッテ,7,48,13,6,2,0,16,12.0
東北楽天,1,33,6,1,2,0,4,9.0
東北楽天,11,39,14,11,5,1,6,9.0
東北楽天,4,32,4,4,4,0,8,9.0
北海道日本ハム,0,34,7,0,2,0,5,9.0
北海道日本ハム,3,31,8,3,0,0,9,9.0
北海道日本ハム,1,30,4,1,9,1,11,9.0
オリックス,0,30,2,0,3,1,12,9.0
オリックス,8,32,10,8,5,1,11,8.0
オリックス,2,34,9,1,4,0,11,9.0
福岡ソフトバンク,4,27,5,4,2,0,7,8.0
福岡ソフトバンク,4,35,7,4,4,0,9,9.0
福岡ソフトバンク,0,31,6,0,3,0,12,9.0
横浜DeNA,1,33,6,1,1,1,10,9.0
横浜DeNA,0,31,5,0,0,0,9,9.0
横浜DeNA,3,33,7,3,4,1,11,9.0
中　日,11,33,12,10,7,2,3,8.0
中　日,2,36,7,2,2,1,15,10.0
中　日,8,37,14,6,0,1,4,8.0
読　売,1,37,8,1,3,0,8,10.0
読　売,3,30,4,2,4,0,5,9.0
読　売,2,39,5,2,5,2,14,12.0
広島東洋,1,35,9,1,0,0,9,9.0
広島東洋,2,33,6,1,3,0,8,9.0
広島東洋,0,31,5,0,1,0,7,9.0
東京ヤクルト,2,32,7,2,3,1,6,9.0
