対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
東京ヤクルト,1,28,5,1,2,1,11,8.0
横浜DeNA,7,31,10,6,7,0,7,8.0
横浜DeNA,5,31,6,5,4,0,5,8.666666666666666
横浜DeNA,0,35,9,0,2,0,13,9.0
中　日,4,33,7,4,6,0,9,10.0
中　日,0,28,3,0,2,0,7,9.0
中　日,4,33,11,4,3,1,8,8.0
東京ヤクルト,3,35,8,3,1,0,8,9.0
東京ヤクルト,4,32,8,4,4,1,7,9.0
読　売,4,29,7,4,5,0,5,8.0
読　売,8,33,11,8,6,0,8,8.0
読　売,6,35,10,6,2,0,4,9.0
広島東洋,7,34,10,5,5,0,8,8.0
広島東洋,2,43,10,2,5,0,9,12.0
広島東洋,4,30,7,4,1,0,9,8.0
中　日,10,36,14,10,3,0,9,9.0
中　日,1,31,4,1,0,0,8,9.0
中　日,5,37,11,5,6,0,10,9.0
横浜DeNA,5,39,14,5,2,1,7,9.0
横浜DeNA,7,40,14,7,7,1,10,9.0
横浜DeNA,3,31,6,3,2,0,10,9.0
読　売,7,41,14,7,2,1,7,9.0
読　売,5,39,9,5,5,1,13,11.0
読　売,5,34,7,4,4,0,10,9.0
東京ヤクルト,2,34,12,2,3,0,9,8.0
東京ヤクルト,4,40,9,4,7,0,9,11.333333333333334
東京ヤクルト,5,34,12,5,2,2,6,8.0
広島東洋,6,38,12,6,1,0,8,9.0
広島東洋,5,38,12,4,7,0,11,9.0
広島東洋,0,30,5,0,3,0,2,9.0
横浜DeNA,1,33,9,1,1,0,5,9.0
横浜DeNA,6,35,13,6,2,1,4,9.0
横浜DeNA,2,34,9,2,1,0,9,9.0
中　日,4,36,11,4,9,0,10,9.666666666666666
中　日,7,34,11,7,4,2,5,8.0
読　売,8,38,12,8,3,1,13,9.0
読　売,9,36,11,9,10,1,9,9.0
読　売,2,30,4,1,5,1,11,9.0
横浜DeNA,2,37,9,2,5,0,7,9.0
横浜DeNA,2,30,4,2,4,0,6,9.0
東京ヤクルト,4,34,7,4,5,0,6,9.0
東京ヤクルト,6,33,6,6,4,0,10,9.0
東京ヤクルト,7,35,9,7,3,1,7,9.0
中　日,8,33,8,8,4,0,4,9.0
中　日,1,33,11,1,2,0,3,9.0
広島東洋,4,29,6,4,2,0,8,8.0
広島東洋,5,32,10,5,2,0,9,8.0
広島東洋,5,27,5,5,7,1,4,8.0
読　売,1,26,3,1,0,0,8,8.0
読　売,4,31,8,4,2,2,9,8.0
読　売,4,31,10,3,0,0,9,8.0
広島東洋,5,35,11,5,4,0,8,9.0
広島東洋,9,41,16,9,3,0,7,9.0
横浜DeNA,0,28,3,0,4,0,8,9.0
横浜DeNA,2,35,5,2,5,3,9,10.0
読　売,4,32,8,4,2,0,7,8.0
読　売,3,36,10,3,0,0,8,9.0
東京ヤクルト,9,40,14,7,5,0,7,9.0
中　日,0,37,4,0,4,1,10,12.0
中　日,1,33,7,1,2,0,7,9.0
東京ヤクルト,2,28,4,2,1,0,10,8.0
中　日,2,32,8,2,2,1,5,9.0
横浜DeNA,3,35,12,3,1,1,8,9.0
広島東洋,1,28,4,1,2,0,11,9.0
広島東洋,6,36,10,6,6,1,9,9.0
東京ヤクルト,4,32,8,4,1,1,9,9.0
