対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
阪　神,1,36,11,1,1,0,6,9.0
阪　神,3,35,8,3,5,0,7,10.0
広島東洋,3,31,8,3,3,0,4,9.0
中　日,3,32,7,3,6,0,9,9.0
読　売,0,30,6,0,0,2,7,9.0
読　売,1,28,5,1,5,0,8,8.0
読　売,1,27,4,1,1,0,6,8.0
東京ヤクルト,3,35,8,2,1,0,6,9.0
阪　神,5,31,8,5,7,1,7,8.0
東京ヤクルト,4,33,9,4,1,0,4,9.0
中　日,4,36,15,4,2,1,4,8.0
読　売,0,28,2,0,0,0,6,9.0
