対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
東京ヤクルト,0,27,3,0,1,0,6,8.0
東京ヤクルト,0,30,4,0,0,0,6,8.0
東京ヤクルト,2,35,8,2,1,0,8,8.0
阪　神,4,33,8,4,1,2,7,9.0
阪　神,3,21,6,3,0,0,1,5.0
読　売,4,32,9,4,3,0,6,8.0
読　売,6,31,8,5,1,0,8,8.0
読　売,4,31,7,4,1,0,8,8.0
中　日,4,37,11,4,3,0,9,9.0
中　日,2,30,4,2,1,0,8,8.0
東京ヤクルト,1,25,4,1,0,0,3,7.0
東京ヤクルト,5,34,10,4,5,0,9,8.666666666666666
東京ヤクルト,7,32,12,7,2,1,4,8.0
阪　神,1,30,4,1,1,0,6,8.666666666666666
阪　神,1,33,7,1,0,0,6,8.0
阪　神,7,33,9,6,6,0,4,9.0
横浜DeNA,0,31,6,0,0,0,8,9.0
横浜DeNA,3,27,6,2,1,0,6,8.0
横浜DeNA,3,33,6,3,2,0,4,9.0
中　日,3,32,6,3,1,1,11,9.0
中　日,3,44,10,3,6,0,4,11.666666666666666
読　売,4,36,12,4,3,0,6,8.0
読　売,3,35,12,2,3,2,6,8.666666666666666
読　売,11,39,14,11,3,0,7,9.0
横浜DeNA,6,32,10,6,2,0,4,9.0
横浜DeNA,1,32,8,1,2,0,10,9.0
横浜DeNA,2,34,8,2,2,0,9,9.0
阪　神,0,30,5,0,0,0,6,9.0
中　日,1,38,13,1,1,0,11,9.0
中　日,4,35,12,4,4,0,8,9.0
中　日,3,41,11,3,4,0,7,11.0
読　売,9,37,10,9,8,1,10,10.0
読　売,4,40,7,4,3,1,11,12.0
読　売,7,38,10,6,4,1,10,9.0
横浜DeNA,7,37,11,7,1,0,7,9.0
横浜DeNA,4,30,8,4,2,1,9,9.0
横浜DeNA,3,36,9,3,3,0,12,9.0
阪　神,10,40,12,10,7,1,9,9.0
阪　神,0,30,6,0,2,0,4,9.0
阪　神,1,32,6,1,0,0,8,9.0
中　日,1,32,6,1,2,0,5,9.0
中　日,6,32,8,6,1,0,6,8.0
中　日,2,35,9,2,1,1,10,9.0
東京ヤクルト,6,34,10,6,2,1,6,8.0
東京ヤクルト,4,28,7,4,2,1,5,8.0
東京ヤクルト,3,31,7,3,0,0,3,8.0
オリックス,0,29,2,0,1,0,10,9.0
オリックス,3,32,7,3,5,0,10,9.0
オリックス,2,33,6,2,1,0,9,9.0
福岡ソフトバンク,1,34,8,1,2,0,11,9.0
福岡ソフトバンク,4,29,8,4,4,0,6,8.0
福岡ソフトバンク,2,30,7,2,6,0,5,9.0
北海道日本ハム,3,35,9,3,2,0,7,9.0
北海道日本ハム,1,31,3,1,1,0,3,9.0
北海道日本ハム,7,32,6,6,3,0,9,9.0
千葉ロッテ,3,33,9,3,2,0,10,9.0
千葉ロッテ,4,35,9,4,6,0,9,9.0
千葉ロッテ,5,38,10,5,4,0,12,9.0
東北楽天,3,35,9,3,2,0,9,9.0
