対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
広島東洋,4,31,8,4,1,0,6,8.0
広島東洋,1,28,5,1,2,0,7,8.0
広島東洋,3,30,5,2,3,1,10,8.0
中　日,1,31,4,1,1,0,4,9.0
中　日,5,32,8,5,7,0,6,9.0
中　日,1,30,3,1,3,0,12,8.0
阪　神,3,33,6,3,4,0,8,9.0
阪　神,0,31,4,0,2,0,4,8.0
阪　神,1,39,5,1,3,1,14,12.0
横浜DeNA,6,31,8,6,6,0,7,8.0
横浜DeNA,1,32,5,1,1,1,4,9.0
広島東洋,0,29,5,0,2,0,11,7.0
広島東洋,4,33,7,3,4,1,7,8.666666666666666
広島東洋,5,34,9,5,3,0,6,8.0
中　日,2,29,4,2,2,0,7,8.0
中　日,3,33,7,2,7,1,5,10.333333333333334
読　売,3,28,5,3,5,1,7,8.0
読　売,2,33,6,1,2,0,6,9.0
読　売,3,35,9,3,2,0,7,9.0
横浜DeNA,3,33,7,3,3,0,6,8.0
横浜DeNA,2,37,10,2,1,1,11,8.0
横浜DeNA,6,37,9,6,6,1,13,9.666666666666666
阪　神,0,29,4,0,1,1,7,9.0
阪　神,0,30,3,0,1,0,10,9.0
阪　神,4,28,9,4,5,0,5,8.0
読　売,7,35,13,7,2,0,6,9.0
読　売,7,39,16,7,7,1,8,9.0
読　売,7,37,12,7,1,0,4,9.0
横浜DeNA,10,42,16,10,2,0,7,8.666666666666666
横浜DeNA,7,36,10,7,7,0,8,9.0
阪　神,1,30,5,1,3,0,9,9.0
阪　神,5,36,9,5,3,1,5,9.0
阪　神,1,33,7,1,2,0,8,9.0
中　日,1,30,6,1,1,0,9,9.0
中　日,4,31,6,4,4,0,9,8.0
中　日,8,32,9,8,3,1,8,8.0
読　売,8,35,11,8,5,0,9,9.0
読　売,4,34,9,4,3,1,9,9.0
読　売,3,31,5,3,4,0,5,9.0
横浜DeNA,3,33,8,3,5,0,10,9.0
横浜DeNA,3,43,12,3,5,1,8,12.0
阪　神,3,32,7,3,2,0,10,9.0
阪　神,5,36,9,5,3,0,6,9.0
