対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
阪　神,4,36,7,3,2,2,7,10.0
広島東洋,4,40,13,4,3,0,10,9.0
広島東洋,1,31,6,1,3,0,9,9.0
広島東洋,1,33,6,1,1,0,9,9.0
北海道日本ハム,1,32,8,1,5,0,12,9.0
北海道日本ハム,2,33,7,2,4,0,6,9.0
北海道日本ハム,5,34,11,5,2,0,4,9.0
東北楽天,9,34,13,9,2,0,2,8.0
東北楽天,5,31,9,5,6,0,4,8.0
千葉ロッテ,10,35,10,10,6,0,9,9.0
千葉ロッテ,0,30,3,0,3,0,7,9.0
千葉ロッテ,2,31,6,2,1,0,11,9.0
埼玉西武,1,31,6,1,2,0,12,9.0
埼玉西武,2,31,7,2,6,0,6,9.0
埼玉西武,3,34,8,2,1,0,14,9.0
福岡ソフトバンク,1,31,6,1,1,0,6,9.0
福岡ソフトバンク,2,36,11,2,1,0,9,9.0
福岡ソフトバンク,7,37,8,6,7,0,10,10.0
オリックス,1,30,4,0,4,0,7,9.0
オリックス,5,37,11,5,1,0,11,9.0
オリックス,0,32,8,0,3,0,7,9.0
東北楽天,13,35,13,11,5,0,8,8.0
中　日,4,32,7,4,2,0,7,9.0
中　日,1,29,4,1,7,0,9,9.0
中　日,1,34,7,1,2,0,12,9.0
読　売,6,25,8,6,1,0,7,6.0
広島東洋,0,31,5,0,0,0,8,9.0
広島東洋,3,29,5,3,0,0,8,8.0
広島東洋,4,31,8,4,6,0,9,8.0
横浜DeNA,4,31,8,4,4,0,7,9.0
横浜DeNA,5,41,9,3,9,1,8,12.0
横浜DeNA,2,30,4,2,3,0,7,9.0
阪　神,3,32,8,3,2,1,10,9.0
阪　神,0,31,7,0,0,1,4,9.0
中　日,2,34,8,2,1,0,8,9.0
中　日,8,36,13,8,3,0,8,8.0
中　日,2,31,4,2,1,0,9,9.0
読　売,3,29,8,3,1,0,11,8.0
読　売,10,32,10,10,3,1,10,8.0
読　売,11,40,16,11,8,0,3,9.666666666666666
阪　神,6,32,11,6,5,1,3,8.0
阪　神,2,28,5,1,3,0,4,9.0
広島東洋,3,34,8,3,2,0,4,9.0
広島東洋,3,34,7,3,1,1,10,9.0
広島東洋,1,29,4,1,1,0,6,9.0
横浜DeNA,4,34,9,4,6,0,4,9.0
横浜DeNA,5,29,7,5,3,1,6,8.0
横浜DeNA,7,36,12,7,1,0,9,8.0
読　売,1,31,6,1,1,0,5,9.0
読　売,2,31,4,2,3,0,8,9.0
読　売,1,31,5,1,3,0,10,9.0
中　日,1,33,6,1,2,0,6,9.0
中　日,2,31,6,1,3,0,15,9.0
中　日,3,33,8,3,5,0,8,9.0
広島東洋,5,27,9,5,8,0,5,8.0
広島東洋,11,33,13,10,4,1,4,8.0
広島東洋,13,43,18,13,2,1,9,8.0
阪　神,1,29,5,1,5,0,8,9.0
阪　神,3,41,7,2,6,1,13,12.0
阪　神,3,33,10,3,2,1,11,9.0
横浜DeNA,3,33,8,3,1,0,7,9.0
横浜DeNA,8,35,11,8,3,0,10,8.0
横浜DeNA,3,33,8,3,1,0,6,9.0
中　日,10,36,12,10,5,1,6,8.0
中　日,3,25,5,2,3,1,4,8.0
中　日,1,27,5,1,0,0,8,8.0
読　売,4,33,6,4,3,0,8,9.0
読　売,3,39,9,3,2,0,13,11.0
読　売,3,34,8,3,2,2,9,9.0
広島東洋,3,30,7,3,3,0,4,9.0
広島東洋,6,33,10,5,3,1,5,9.0
広島東洋,7,41,12,7,8,0,12,12.0
中　日,0,31,6,0,1,1,6,9.0
中　日,2,33,7,2,3,0,12,9.0
中　日,6,32,7,5,4,2,4,9.0
阪　神,2,32,5,2,2,1,10,9.0
阪　神,5,34,9,5,3,1,8,9.0
阪　神,1,31,5,1,0,0,3,9.0
読　売,3,36,11,3,3,1,8,9.0
読　売,4,30,8,4,5,1,8,8.0
読　売,2,32,7,2,4,0,7,9.0
横浜DeNA,1,34,7,1,4,1,12,10.0
横浜DeNA,13,45,20,13,3,1,9,9.0
横浜DeNA,4,34,8,4,4,0,6,9.0
広島東洋,2,31,9,1,1,1,7,8.0
広島東洋,5,34,7,5,5,1,7,8.0
広島東洋,5,32,6,5,3,2,6,9.0
横浜DeNA,1,29,5,0,1,0,6,9.0
横浜DeNA,6,29,8,5,1,0,9,8.0
読　売,2,29,5,2,3,2,6,9.0
読　売,3,39,6,3,10,0,10,12.0
中　日,6,30,8,5,7,2,8,8.333333333333334
中　日,8,42,17,7,2,0,7,9.0
阪　神,3,30,5,3,2,0,6,9.0
広島東洋,3,29,6,3,4,1,9,9.0
阪　神,0,30,3,0,1,0,4,9.0
横浜DeNA,11,37,12,10,5,0,4,9.0
横浜DeNA,2,35,9,2,2,0,6,9.0
読　売,0,32,5,0,2,0,9,9.0
阪　神,5,36,11,5,1,0,6,8.666666666666666
