対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
横浜DeNA,3,33,7,3,0,0,11,9.0
読　売,0,29,3,0,1,0,10,9.0
読　売,1,26,4,1,1,0,7,8.0
広島東洋,0,28,5,0,4,0,5,9.0
広島東洋,8,41,12,8,7,0,5,10.0
東京ヤクルト,5,34,7,5,2,0,4,9.0
東京ヤクルト,9,32,8,9,4,1,4,9.0
横浜DeNA,4,36,10,3,2,0,6,9.0
阪　神,0,40,6,0,3,0,8,3.0
阪　神,2,30,7,2,0,0,6,8.0
広島東洋,0,34,5,0,1,0,4,9.0
阪　神,7,33,8,7,4,0,5,9.0
広島東洋,4,36,9,4,1,1,6,9.0
読　売,2,31,6,2,2,0,10,9.0
横浜DeNA,0,28,2,0,0,1,3,9.0
読　売,1,30,7,0,1,0,9,9.0
