日付,勝ち負け,盗塁,先発,勝投手,負投手
07/09,●,2,吉村 貢司郎,石井 大智,田口 麗斗
07/10,●,0,奥川 恭伸,大竹 耕太郎,奥川 恭伸
07/12,●,0,石川 雅規,床田 寛樹,石川 雅規
07/13,●,0,小澤 怜史,黒原 拓未,田口 麗斗
07/15,○,1,ヤフーレ,ヤフーレ,梅津 晃大
07/16,○,0,山野 太一,小澤 怜史,藤嶋 健人
07/19,●,0,吉村 貢司郎,京山 将弥,金久保 優斗
07/20,○,1,サイスニード,山本 大貴,中川 虎大
07/21,○,1,奥川 恭伸,小澤 怜史,坂本 裕哉
07/26,●,0,山野 太一,黒原 拓未,山野 太一
07/27,○,0,高橋 奎二,高橋 奎二,森下 暢仁
07/28,○,0,阪口 皓亮,星 知弥,栗林 良吏
07/30,●,0,ヤフーレ,?橋 宏斗,ヤフーレ
07/31,●,0,サイスニード,松木平 優太,サイスニード
08/01,●,1,吉村 貢司郎,藤嶋 健人,木澤 尚文
08/02,○,1,奥川 恭伸,奥川 恭伸,赤星 優志
08/03,●,0,高橋 奎二,船迫 大雅,高橋 奎二
08/04,●,1,石川 雅規,菅野 智之,石川 雅規
08/06,○,0,ヤフーレ,小澤 怜史,岩崎 優
08/07,○,0,サイスニード,サイスニード,及川 雅貴
08/08,●,1,吉村 貢司郎,ビーズリー,吉村 貢司郎
08/09,●,0,高梨 裕稔,石田 裕太郎,高梨 裕稔
08/10,●,0,高橋 奎二,大貫 晋一,高橋 奎二
08/11,○,1,奥川 恭伸,大西 広樹,山? 康晃
08/12,○,0,小川 泰弘,小澤 怜史,松山 晋也
08/13,●,1,ヤフーレ,?橋 宏斗,ヤフーレ
08/14,○,0,サイスニード,ロドリゲス,齋藤 綱記
08/17,○,0,高橋 奎二,高橋 奎二,大瀬良 大地
08/18,●,0,石川 雅規,九里 亜蓮,石川 雅規
08/20,●,0,吉村 貢司郎,才木 浩人,吉村 貢司郎
08/21,●,2,サイスニード,西 勇輝,サイスニード
08/22,○,0,ヤフーレ,大西 広樹,桐敷 拓馬
08/23,●,2,高梨 裕稔,吉野 光樹,木澤 尚文
08/24,○,1,高橋 奎二,高橋 奎二,石田 裕太郎
08/25,●,0,山野 太一,ウィック,山野 太一
08/27,●,0,吉村 貢司郎,山? 伊織,吉村 貢司郎
08/28,●,0,サイスニード,グリフィン,サイスニード
08/31,●,0,高橋 奎二,大瀬良 大地,高橋 奎二
09/01,●,0,高梨 裕稔,玉村 昇悟,高梨 裕稔
09/03,○,1,ヤフーレ,小澤 怜史,大勢
09/04,○,1,吉村 貢司郎,吉村 貢司郎,グリフィン
09/05,●,0,山野 太一,戸郷 翔征,山野 太一
09/06,●,1,サイスニード,ビーズリー,サイスニード
09/07,●,0,高橋 奎二,才木 浩人,高橋 奎二
09/08,○,0,高梨 裕稔,高梨 裕稔,西 勇輝
09/10,●,0,ヤフーレ,?橋 宏斗,ヤフーレ
