対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
広島東洋,4,32,10,4,2,0,8,8.0
広島東洋,6,37,14,6,1,2,5,8.0
広島東洋,1,33,6,1,3,2,5,9.0
阪　神,5,39,12,4,3,0,5,9.0
阪　神,2,28,6,2,0,0,3,8.0
阪　神,3,38,11,3,3,1,5,9.0
読　売,2,33,8,2,1,0,8,9.0
読　売,6,36,7,6,3,0,6,9.0
読　売,0,31,5,0,2,1,7,8.0
中　日,1,32,5,1,0,0,3,9.0
中　日,1,32,4,1,2,0,4,9.0
東京ヤクルト,3,32,12,3,3,0,6,8.0
東京ヤクルト,2,33,8,2,3,0,5,9.0
東京ヤクルト,0,32,8,0,3,0,6,9.0
広島東洋,2,34,8,2,2,0,6,8.0
広島東洋,1,38,13,1,0,0,8,8.0
東京ヤクルト,3,35,8,3,3,0,3,8.0
東京ヤクルト,7,35,8,7,6,0,8,9.0
東京ヤクルト,8,34,8,8,3,3,6,9.0
阪　神,1,39,8,1,4,1,6,12.0
阪　神,3,31,6,2,5,0,3,9.0
読　売,7,32,10,7,1,1,4,8.0
読　売,1,29,5,1,6,0,4,9.0
読　売,2,29,3,2,7,0,3,9.0
中　日,1,34,7,1,2,0,7,8.0
中　日,2,34,9,1,3,0,7,9.0
中　日,12,42,17,12,2,0,7,9.0
広島東洋,2,31,5,2,1,1,5,9.0
広島東洋,1,29,2,1,0,1,5,9.0
広島東洋,5,35,12,5,4,0,5,9.0
東京ヤクルト,6,31,8,6,2,0,3,8.0
東京ヤクルト,2,33,7,2,3,0,13,9.0
阪　神,3,33,6,3,5,1,9,9.0
阪　神,11,38,14,11,3,0,3,8.0
阪　神,0,29,4,0,2,0,5,9.0
読　売,1,30,6,1,3,0,8,9.0
読　売,0,27,3,0,1,1,5,9.0
中　日,2,31,8,2,4,0,4,8.0
中　日,3,31,7,3,3,0,8,8.0
中　日,2,36,11,2,2,0,4,9.0
東京ヤクルト,7,34,11,7,1,0,9,9.0
東京ヤクルト,2,29,6,2,3,0,7,9.0
東京ヤクルト,5,35,11,5,4,1,3,9.0
広島東洋,2,35,7,2,4,0,9,10.0
広島東洋,6,47,13,6,4,2,15,12.0
広島東洋,2,39,11,2,3,0,4,9.0
東北楽天,6,24,9,5,2,0,6,6.0
東北楽天,0,28,4,0,1,0,5,9.0
東北楽天,5,37,11,5,2,0,8,9.0
北海道日本ハム,4,35,8,4,2,1,11,10.0
北海道日本ハム,4,35,9,4,0,0,9,9.0
北海道日本ハム,2,28,6,2,3,0,3,9.0
オリックス,3,29,8,3,5,1,6,8.0
オリックス,1,34,9,1,2,0,9,9.0
オリックス,1,31,7,1,2,0,5,9.0
福岡ソフトバンク,1,33,7,1,1,0,8,9.0
福岡ソフトバンク,3,33,6,3,3,1,11,9.0
福岡ソフトバンク,8,32,10,8,4,1,6,8.0
千葉ロッテ,4,33,6,4,1,2,9,9.0
千葉ロッテ,13,43,16,12,3,1,6,9.0
千葉ロッテ,3,34,10,3,1,0,7,9.0
埼玉西武,5,37,11,5,1,0,5,9.0
埼玉西武,4,39,12,4,1,1,5,9.0
埼玉西武,5,34,9,5,5,1,5,9.0
阪　神,0,33,8,0,1,0,8,9.0
阪　神,5,38,10,5,1,0,5,9.0
読　売,2,31,5,2,1,0,5,9.0
読　売,5,39,12,5,2,0,7,9.333333333333334
中　日,5,34,10,4,0,0,8,9.0
中　日,5,36,10,5,2,0,3,9.0
中　日,0,31,5,0,4,0,5,9.0
東京ヤクルト,6,39,13,6,5,1,8,8.0
東京ヤクルト,3,31,4,3,0,1,3,9.0
東京ヤクルト,3,30,8,3,1,1,4,8.0
阪　神,2,41,11,2,0,1,12,10.0
阪　神,1,30,6,1,3,0,5,9.0
阪　神,5,38,13,5,3,0,5,9.0
中　日,6,42,12,6,4,1,6,10.666666666666666
中　日,3,30,8,3,1,0,5,8.0
中　日,3,30,7,3,3,1,8,9.333333333333334
読　売,2,34,7,2,2,0,9,9.0
読　売,1,31,5,1,3,0,10,9.0
読　売,6,35,8,6,0,0,8,9.0
広島東洋,6,36,13,6,4,0,5,8.0
広島東洋,0,31,7,0,2,0,5,9.0
東京ヤクルト,8,43,17,8,2,0,5,9.0
東京ヤクルト,4,38,12,3,1,2,8,9.0
東京ヤクルト,7,44,14,7,3,1,5,11.0
読　売,2,33,9,2,4,1,5,9.0
