対戦相手,得点,打数,安打,打点,四球,死球,三振,攻撃回
読　売,1,31,5,1,2,0,6,9.0
読　売,0,34,7,0,0,0,8,9.0
広島東洋,3,32,5,3,0,0,8,9.0
広島東洋,1,35,10,1,3,1,4,9.0
広島東洋,1,32,8,1,5,1,7,9.0
阪　神,2,30,6,2,3,1,5,9.0
阪　神,10,32,10,8,3,1,4,8.0
阪　神,0,30,3,0,3,0,7,9.0
中　日,2,35,10,2,2,0,10,9.0
中　日,0,40,7,0,5,0,8,12.0
中　日,4,33,7,4,3,0,10,9.0
東京ヤクルト,5,31,9,5,1,0,5,8.0
東京ヤクルト,14,39,19,14,5,1,8,8.0
東京ヤクルト,4,32,8,4,3,0,3,9.0
広島東洋,3,37,9,3,1,0,9,9.0
広島東洋,6,34,7,5,2,0,5,9.0
広島東洋,3,34,11,3,3,0,8,9.0
読　売,1,33,7,1,2,1,8,9.0
読　売,2,35,7,2,3,1,8,10.0
中　日,4,32,9,4,4,0,7,8.0
中　日,7,36,13,7,2,1,6,8.0
中　日,8,36,13,8,2,0,6,9.0
東京ヤクルト,5,35,9,5,2,0,6,9.0
東京ヤクルト,0,33,4,0,3,0,8,9.0
東京ヤクルト,10,40,15,10,8,0,14,9.0
阪　神,10,36,14,9,5,0,5,8.0
阪　神,3,30,6,3,0,0,7,8.0
広島東洋,5,29,7,5,4,2,4,8.0
広島東洋,6,34,11,6,0,0,5,8.0
広島東洋,4,35,7,4,7,0,4,10.666666666666666
読　売,2,43,10,2,2,1,10,12.0
読　売,8,38,10,7,4,1,11,9.0
阪　神,2,30,9,2,1,1,0,9.0
